id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
66,482429,149475630,155632991011,57573,11.75,26.38,53903,11.0,48.49,229176,46.76,172.52,0.74,0.75,0.46,0.4,29.21,133.18
67,392034,111045258,114175689654,52950,11.96,24.19,47535,10.74,38.1,196491,44.37,150.07,0.75,0.75,0.43,0.38,23.92,147.9
68,282567,76006358,81627992401,41530,10.75,19.59,36769,9.51,24.98,146233,37.84,117.61,0.75,0.75,0.43,0.38,21.75,149.63
69,172464,40315573,42620805098,30668,9.18,14.71,28125,8.42,19.38,97398,29.17,78.1,0.75,0.75,0.43,0.4,19.18,149.46
70,164452,27083637,27264468220,29766,9.13,13.51,29170,8.95,19.76,91919,28.19,69.69,0.74,0.73,0.43,0.4,17.5,149.24
71,159720,22272531,22094364477,28162,8.68,12.44,27528,8.48,19.16,86844,26.75,63.96,0.72,0.72,0.45,0.42,17.46,139.31
72,140382,20753698,20998009668,26214,8.26,11.32,24785,7.81,16.69,77651,24.46,56.67,0.72,0.72,0.45,0.42,17.56,139.43
73,153791,21272023,22521262185,26793,8.57,13.23,27200,8.7,25.68,83544,26.73,65.61,0.72,0.72,0.46,0.43,17.25,135.72
74,173379,26670987,27123086127,27484,8.78,13.98,24844,7.94,22.02,91365,29.2,75.79,0.71,0.7,0.46,0.42,18.09,133.43
75,209485,33072342,32606047949,30094,9.66,17.89,29161,9.36,43.07,109584,35.18,97.3,0.72,0.71,0.47,0.43,18.59,130.65
76,221936,52995855,50077032327,31239,10.13,20.14,30265,9.81,51.31,120895,39.2,112.57,0.7,0.7,0.47,0.44,20.66,129.91
77,252080,53116522,54087760072,34090,10.66,23.35,31813,9.95,54.78,135419,42.34,130.92,0.71,0.71,0.48,0.44,22.45,128.43
78,268055,53907404,52234202442,35699,10.77,23.78,33927,10.23,55.2,143934,43.42,138.14,0.71,0.71,0.48,0.45,24.37,129.86
79,285419,61334585,60757035879,38038,11.16,24.76,36409,10.68,55.44,153116,44.93,145.45,0.72,0.72,0.47,0.43,25.43,132.1
80,313753,63248796,62337998947,38959,10.98,25.06,47262,13.32,145.12,158324,44.61,146.04,0.74,0.73,0.48,0.44,26.15,129.74
81,307055,68354008,69533683238,39287,10.9,25.04,49486,13.73,144.9,154827,42.97,142.23,0.74,0.74,0.47,0.42,26.35,130.93
82,316352,67402437,69327464063,41366,11.04,25.04,39416,10.52,64.06,164961,44.04,146.08,0.74,0.74,0.48,0.42,26.25,130.88
83,330326,71525090,73623120704,43134,11.31,25.03,50352,13.2,192.72,166712,43.71,143.25,0.75,0.75,0.47,0.42,25.91,134.72
84,333245,75284263,75845455284,44860,11.31,24.24,41993,10.58,51.63,171717,43.28,141.95,0.75,0.76,0.47,0.42,24.45,133.88
85,299928,74832338,74065160282,43094,10.76,23.25,39049,9.75,44.33,160944,40.2,132.77,0.75,0.75,0.47,0.41,26.68,132.6
86,342736,85497468,84924978496,46219,10.99,23.06,42545,10.12,47.69,177485,42.21,140.04,0.75,0.75,0.46,0.41,28.65,131.61
87,399043,115088187,117637011078,50215,11.18,24.71,47961,10.67,49.99,199142,44.32,154.39,0.75,0.75,0.47,0.4,29.81,130.54
88,407347,126671093,130351002369,50913,11.04,24.27,46573,10.1,44.06,201293,43.65,156.85,0.75,0.74,0.47,0.41,30.83,129.51
89,392386,118066608,120737399490,50102,10.89,24.2,47160,10.25,46.51,194515,42.27,152.52,0.75,0.75,0.47,0.41,31.95,130.16
90,385708,112557555,115687030335,50999,11.33,23.85,48264,10.72,41.71,192088,42.66,150.34,0.75,0.75,0.45,0.39,28.56,138.53
91,302107,89485490,92573514274,44726,11.07,24.78,39567,9.79,31.54,157432,38.96,130.41,0.76,0.76,0.45,0.4,24.95,144.33
92,214069,61756590,62514988488,34998,9.9,19.11,28290,8.01,18.3,116713,33.03,101.63,0.74,0.75,0.44,0.4,22.62,145.65
93,148022,38521570,36120336237,27832,8.67,14.36,22537,7.02,12.81,84289,26.24,69.81,0.74,0.74,0.45,0.42,19.56,148.06
94,142637,26228626,26845963772,27439,8.68,12.79,25078,7.93,16.7,80558,25.48,62.38,0.74,0.74,0.43,0.4,17.54,149.33
95,117374,20760652,20864304301,24187,8.04,11.41,23344,7.76,18.1,69013,22.94,53.52,0.73,0.74,0.44,0.41,16.26,150.27
96,134871,21721699,22367138475,26912,8.7,11.54,27688,8.95,22.37,77462,25.05,54.99,0.74,0.74,0.43,0.4,15.51,152.11
97,126165,20874247,21855740876,25012,8.46,11.36,25132,8.5,20.74,72715,24.6,53.42,0.73,0.73,0.43,0.41,14.47,149.69
98,156514,26478987,28241171174,27871,9.17,13.76,26041,8.56,21.79,86275,28.37,69.18,0.73,0.73,0.43,0.41,15.11,147.88
99,191844,28415520,28437975225,31544,10.18,18.39,29103,9.39,33.28,104211,33.62,91.91,0.72,0.72,0.43,0.4,16.02,147.56
100,204452,35512090,35632553637,32781,10.62,20.95,29828,9.66,41.72,113639,36.81,106.66,0.73,0.73,0.43,0.41,17.58,145.33
101,233862,53383301,53503310759,35433,11.31,21.3,33576,10.71,52.75,127962,40.83,116.57,0.73,0.73,0.44,0.41,20.17,146.36
102,252166,53215731,53405686253,37561,11.58,22.53,34527,10.64,50.81,137406,42.34,124.27,0.74,0.74,0.45,0.41,21.19,144.36
103,251916,56181430,56545214340,38023,11.24,22.03,35120,10.38,50.07,137099,40.53,120.89,0.73,0.73,0.44,0.4,22.73,141.74
104,271198,66486062,67529316351,40479,11.38,23.48,38309,10.77,49.3,145794,40.98,126.39,0.74,0.74,0.44,0.41,22.46,142.95
105,273880,71396285,67963519879,41802,11.58,24.36,37947,10.51,50.07,147777,40.95,125.6,0.74,0.74,0.44,0.4,24.04,143.17
106,268097,67019949,66518301112,41835,11.29,22.75,39922,10.78,50.54,143885,38.85,118.58,0.76,0.75,0.45,0.4,23.5,147.13
107,281522,73890741,72764514672,43373,11.4,23.06,44627,11.73,54.5,149840,39.4,121.94,0.75,0.75,0.44,0.4,23.67,143.95
108,316739,64082511,64291980783,44235,11.5,23.39,81391,21.17,361.2,149267,38.82,120.43,0.75,0.75,0.44,0.4,24.02,144.5
109,304962,71064801,69205091854,47637,12.22,27.33,71586,18.37,217.77,157213,40.34,126.3,0.74,0.73,0.43,0.38,24.18,145.24
110,277196,83381590,79011734005,45621,11.63,24.99,50003,12.74,64.2,147712,37.64,117.62,0.75,0.75,0.43,0.39,24.64,146.89
111,291082,95923275,97281612309,46615,12.01,23.21,53712,13.84,83.08,150604,38.82,119.65,0.75,0.75,0.42,0.37,23.33,149.42
112,250673,79511065,77603208039,43780,11.4,23.15,44859,11.68,47.95,139965,36.43,113.27,0.74,0.74,0.44,0.39,24.83,146.19
113,285085,84308866,82490976522,42793,11.34,23.55,76996,20.4,274.07,137779,36.5,113.36,0.73,0.73,0.45,0.4,25.5,142.4
114,368093,81685223,82072001541,47708,12.24,23.41,114424,29.35,477.09,155204,39.82,122.91,0.75,0.74,0.42,0.37,23.39,152.31
115,267507,78345942,77833499142,45401,12.01,23.03,42887,11.35,34.99,144524,38.23,116.2,0.74,0.73,0.42,0.38,21.98,154.18
116,211546,60313685,59138096073,37255,10.81,19.62,33345,9.68,24.65,116201,33.72,97.22,0.74,0.74,0.43,0.4,20.57,151.73
117,150925,35100579,35707693419,29865,9.35,15.98,25789,8.08,18.63,88256,27.64,72.75,0.74,0.73,0.44,0.41,19.57,151.16
118,137087,24749032,24268349439,28345,9.35,14.2,26849,8.85,18.62,77660,25.61,61.76,0.75,0.75,0.39,0.37,15.55,158.4
119,123598,20882498,20190579491,25103,8.54,12.43,24111,8.2,19.42,68244,23.21,53.17,0.75,0.75,0.4,0.38,14.66,158.27
120,117713,19592770,19776615724,26550,8.89,12.29,28759,9.63,34.43,70921,23.76,52.82,0.74,0.74,0.4,0.39,14.39,157.91
121,173589,15784453,16259399589,26572,8.93,13.19,60685,20.39,424.74,72444,24.34,56.52,0.76,0.76,0.4,0.38,13.45,162.44
122,85344,11064225,10415789681,20687,7.43,10.92,20617,7.4,20.3,55281,19.85,42.87,0.72,0.72,0.47,0.44,16.17,139.48
123,119267,17285443,16871959153,25068,8.86,13.52,23976,8.48,22.66,70365,24.87,59.53,0.73,0.72,0.41,0.38,14.51,155.86
124,151903,26176704,26217711968,28811,9.92,15.93,30775,10.6,57.16,86691,29.86,75.26,0.74,0.73,0.41,0.39,16.39,154.16
125,195577,40725513,41399531609,33057,10.68,18.77,29636,9.57,28.99,103861,33.55,93.18,0.75,0.75,0.41,0.38,16.05,158.83
126,224337,55482363,57286912553,36856,11.1,21.39,41801,12.59,86.99,122574,36.92,110.08,0.74,0.74,0.43,0.39,22.47,146.17
127,242205,60574248,61148466148,38646,10.86,21.56,37008,10.4,45.84,132602,37.27,116.55,0.75,0.74,0.44,0.4,23.42,142.81
128,246003,68373415,68977302112,41010,11.0,21.91,38944,10.44,38.58,137892,36.98,115.99,0.74,0.74,0.45,0.4,24.55,142.09
129,255148,68756721,70607017264,43294,11.3,22.96,44239,11.55,69.83,142153,37.11,119.11,0.75,0.75,0.44,0.39,24.88,142.89
130,254527,70491700,71797862366,42702,11.13,22.85,46094,12.01,75.63,141719,36.93,120.27,0.75,0.75,0.45,0.4,25.09,142.83
131,250835,66612538,68313853422,43090,11.24,23.36,40310,10.52,38.68,141151,36.83,117.37,0.74,0.75,0.45,0.4,26.05,142.42
132,269301,78474265,78565402805,44355,11.38,24.62,44285,11.36,59.23,147485,37.83,124.69,0.74,0.74,0.46,0.41,26.87,136.86
133,258028,76028954,79799654014,42939,11.06,23.78,42071,10.83,45.72,144569,37.22,118.03,0.73,0.73,0.45,0.41,26.47,137.11
134,248692,80408642,81979253717,42889,11.13,25.91,44264,11.49,54.0,142048,36.88,119.4,0.74,0.73,0.46,0.41,26.12,136.62
135,299168,88237253,87982544588,46992,11.82,28.82,52591,13.23,71.8,163088,41.02,135.48,0.73,0.73,0.46,0.41,28.69,134.08
136,421856,103229454,102424974826,45651,10.93,23.25,128813,30.84,763.27,162860,38.99,128.17,0.72,0.72,0.47,0.41,29.17,128.6
137,374779,113416019,113637878588,46816,11.1,23.93,95558,22.67,466.78,162843,38.62,130.58,0.72,0.73,0.47,0.42,29.42,129.3
138,333041,126739050,129103555567,48547,11.51,27.86,50912,12.07,51.34,170748,40.48,146.34,0.72,0.72,0.46,0.41,29.22,128.49
139,326823,126947846,127459986352,45321,11.24,24.2,44943,11.14,41.62,163817,40.62,138.36,0.73,0.73,0.46,0.41,29.54,126.83
140,253839,95143382,96603055338,38465,10.43,19.98,36495,9.9,31.35,133538,36.21,113.11,0.72,0.72,0.46,0.42,25.99,130.2
141,204478,62487365,63429165769,33563,9.87,16.53,33448,9.83,31.06,112181,32.98,92.82,0.72,0.72,0.46,0.42,22.44,130.28
142,166021,42399292,42728621289,29993,9.12,14.08,35652,10.84,54.66,94295,28.68,72.99,0.7,0.7,0.45,0.42,19.92,129.84
143,136379,30839379,31197223080,26190,8.29,11.5,35576,11.27,52.57,77708,24.61,55.76,0.71,0.71,0.45,0.43,18.94,134.0
144,124777,16019315,16305058854,24566,7.92,10.31,35773,11.54,92.08,71589,23.09,50.19,0.7,0.7,0.46,0.44,18.36,129.35
145,114039,14004569,13974574314,23971,7.89,10.08,26440,8.7,29.46,67658,22.27,46.17,0.71,0.7,0.46,0.44,17.2,132.15
146,123476,15288520,15384063773,23714,7.84,10.55,24834,8.22,23.2,68417,22.63,47.56,0.71,0.71,0.46,0.44,17.46,131.75
147,147350,16971442,17000413049,25979,8.43,12.35,26496,8.6,27.08,78897,25.62,59.04,0.71,0.71,0.46,0.44,17.28,130.92
148,197888,29638552,30047390347,30214,9.62,17.07,32080,10.21,38.78,101114,32.19,86.26,0.7,0.7,0.46,0.43,19.97,128.62
149,243783,42950385,44167360741,35142,10.59,21.18,38830,11.7,61.82,122187,36.83,107.68,0.72,0.72,0.46,0.42,21.57,129.05
150,287633,63930493,66146198193,40731,11.47,24.7,41158,11.59,54.34,143244,40.33,125.27,0.73,0.73,0.46,0.41,24.83,127.21
151,325993,84376064,85532993094,43511,11.44,24.76,47127,12.39,60.03,158487,41.67,133.64,0.73,0.73,0.46,0.41,26.35,130.69
152,357563,92011812,93036836467,43975,11.09,25.33,74139,18.7,285.04,160191,40.41,137.47,0.73,0.73,0.46,0.41,27.45,127.64
153,334228,90085604,93374595172,45879,11.21,22.96,48523,11.86,55.64,166590,40.71,133.85,0.74,0.74,0.45,0.41,27.38,128.16
154,336051,85881188,84659890476,45708,11.19,23.38,49427,12.1,58.2,164561,40.28,134.45,0.73,0.73,0.46,0.41,27.45,127.97
155,351754,97754288,94507957388,48848,11.53,25.39,54693,12.91,66.85,170726,40.28,137.31,0.73,0.73,0.46,0.4,28.05,131.44
156,349779,96675576,94929958779,48090,11.36,26.09,52229,12.34,64.6,173594,41.02,139.78,0.74,0.74,0.47,0.42,29.6,126.96
157,346422,98910098,100675360893,49127,11.66,25.97,53638,12.73,69.67,177093,42.04,143.24,0.74,0.74,0.46,0.4,29.03,131.48
158,349691,100488965,99027459218,49006,11.3,25.6,51014,11.77,59.77,177975,41.06,142.72,0.74,0.74,0.46,0.4,29.76,131.06
159,388750,120996271,123206636098,51144,11.36,27.04,54405,12.09,63.24,189991,42.21,149.32,0.75,0.75,0.46,0.4,31.32,125.42
160,402839,117495921,115210385362,51981,11.15,27.54,50836,10.9,53.73,199241,42.73,159.55,0.74,0.74,0.47,0.41,32.09,125.53
161,430615,135373117,134482147096,53339,11.22,27.96,52343,11.01,56.54,209703,44.12,168.53,0.74,0.74,0.47,0.41,33.8,125.95
162,461373,139134205,138511513923,53571,11.2,26.64,49794,10.41,51.42,212212,44.37,167.24,0.74,0.74,0.47,0.41,32.2,126.69
163,483725,117169179,116978147645,50357,11.22,25.52,97776,21.78,371.05,195712,43.6,156.36,0.74,0.74,0.47,0.41,29.69,126.2
164,420437,89509837,88686101552,42003,10.82,23.39,118882,30.62,432.46,154673,39.84,131.54,0.73,0.73,0.46,0.41,24.59,129.37
165,476590,64112028,64994053647,33136,9.62,19.73,224986,65.31,1091.03,113562,32.96,99.49,0.71,0.71,0.46,0.42,21.43,128.16
166,596425,44801130,44130785122,29132,8.81,17.23,334515,101.21,1660.75,92489,27.98,78.2,0.72,0.72,0.46,0.43,17.73,129.27
167,457935,28513181,26752291991,26707,8.35,13.57,273737,85.6,1353.09,82446,25.78,61.54,0.7,0.7,0.47,0.44,17.54,129.92
168,645086,20623870,19231922120,24495,7.91,11.72,397120,128.23,1963.72,74124,23.93,52.72,0.7,0.7,0.47,0.44,16.8,131.28
169,741350,28928004,23931407333,23604,7.75,11.14,415622,136.54,2197.16,73094,24.01,53.13,0.7,0.7,0.48,0.45,16.06,127.15
170,661432,37833265,31910999707,25789,8.47,15.17,362082,118.99,1944.82,87706,28.82,74.77,0.69,0.69,0.47,0.44,17.68,123.83
171,410264,30310429,28924505932,28789,9.16,16.81,188702,60.02,1217.34,103379,32.88,91.61,0.7,0.69,0.46,0.43,19.44,127.99
172,262553,54042515,49838100408,30995,9.8,18.8,76289,24.12,527.66,113923,36.02,102.98,0.7,0.7,0.47,0.43,21.3,127.62
173,260336,59288327,56447634437,36019,11.07,23.67,34094,10.47,57.32,141020,43.32,131.52,0.71,0.71,0.48,0.43,23.76,125.89
174,287054,54911561,54009727853,39659,11.59,25.55,37659,11.0,59.22,155380,45.41,142.13,0.72,0.71,0.48,0.44,23.45,127.89
175,286521,58317048,55782522430,38192,11.14,24.13,36912,10.77,60.0,150928,44.04,138.72,0.72,0.72,0.47,0.43,25.22,127.76
176,298766,53598916,51672384997,39640,11.06,24.07,36897,10.29,56.07,158162,44.12,140.32,0.72,0.72,0.48,0.43,24.55,127.4
177,294890,64083770,66279215111,40210,11.07,25.38,42021,11.57,80.76,156162,43.0,137.83,0.73,0.73,0.48,0.43,26.13,127.21
178,314676,63617141,62676524125,43415,11.72,29.65,41189,11.12,57.16,166691,45.02,149.0,0.74,0.74,0.47,0.42,25.61,130.25
179,342236,66647270,67164283897,45975,12.25,30.63,53414,14.23,165.67,174185,46.41,151.96,0.73,0.73,0.48,0.43,26.67,127.67
180,327300,65763863,63597995948,45615,11.69,30.39,42523,10.9,55.09,174569,44.75,150.39,0.74,0.73,0.48,0.43,29.1,127.13
181,320085,72985606,73710098607,45233,11.3,28.9,41367,10.33,49.63,170678,42.64,143.85,0.73,0.73,0.47,0.42,28.61,128.61
182,401505,105308178,104320533602,54391,12.19,31.78,55300,12.4,62.98,204196,45.77,158.77,0.75,0.75,0.47,0.41,29.43,132.98
183,413693,118175067,119458145045,54456,11.67,30.71,53386,11.44,61.5,205916,44.13,160.21,0.74,0.73,0.47,0.41,32.66,126.34
184,437656,131984998,134585810021,56667,11.63,31.72,51269,10.52,50.17,216980,44.52,168.16,0.74,0.74,0.48,0.41,34.39,126.38
185,484727,141196242,141338273340,58624,11.84,32.54,55765,11.26,55.59,234516,47.37,181.47,0.74,0.74,0.48,0.41,34.34,126.85
186,476123,143035453,145289661686,56063,11.57,31.66,50416,10.41,47.66,226374,46.73,176.66,0.74,0.74,0.47,0.41,31.86,127.39
187,399213,112755142,114740786891,48838,11.08,27.7,41128,9.33,37.95,192442,43.68,155.27,0.72,0.72,0.48,0.42,29.34,127.99
188,315353,73447486,75861757591,37565,10.0,20.28,60988,16.24,332.48,140319,37.37,119.04,0.73,0.73,0.47,0.42,25.15,130.08
189,258246,50965670,51606782068,30404,8.96,15.72,78269,23.07,397.79,104184,30.71,85.56,0.72,0.72,0.47,0.44,21.71,132.59
190,211770,23200161,22599436156,27077,8.41,12.81,72538,22.52,394.5,85879,26.66,66.77,0.71,0.71,0.47,0.43,18.9,131.81
191,171831,20493890,19636729291,24927,7.85,11.23,52597,16.57,285.46,77783,24.51,57.68,0.72,0.72,0.46,0.43,18.17,135.65
